,latitude,longitude,city,country,temperature,humidity,cloudiness,wind_speed
0,22.17957923927476,52.59609051870058,abu dhabi,ae,72.0,53.0,0.0,8.0
1,17.783144591016807,-132.16106704621455,lompoc,us,58.0,47.0,1.0,11.0
3,-71.93990406814765,-20.52446407037496,mar del plata,ar,67.0,41.0,68.0,29.0
5,-60.76548220027619,-116.5771370991058,rikitea,pf,80.0,100.0,56.0,14.0
6,28.61703826956746,-91.54682567092921,morgan city,us,77.0,78.0,90.0,14.0
7,-82.08026167214794,-178.8431047302158,vaini,to,66.0,91.0,8.0,2.0
9,11.626858808725999,92.33420957058422,port blair,in,82.0,100.0,0.0,9.0
10,-77.6156032350126,-86.82621669945337,punta arenas,cl,46.0,100.0,75.0,26.0
11,-68.92326211997025,-66.66324415903475,ushuaia,ar,41.0,80.0,75.0,20.0
12,-78.23691304191063,-143.2321604039325,mataura,pf,66.0,64.0,100.0,17.0
15,-45.412623862004956,21.678038115078067,bredasdorp,za,62.0,88.0,88.0,4.0
17,-55.762548418187784,164.84343223577764,bluff,nz,72.0,90.0,24.0,3.0
18,31.906230395943368,132.15038059645502,shintomi,jp,59.0,100.0,100.0,4.0
20,-12.817160060929822,-44.05827352805207,santa maria da vitoria,br,79.0,76.0,8.0,2.0
21,88.59552849361015,-70.19566150775148,qaanaaq,gl,-17.0,98.0,0.0,7.0
22,-13.574404674894552,-6.684830387464842,jamestown,sh,44.0,82.0,0.0,4.0
23,-67.24670519104141,44.83242542542763,port alfred,za,70.0,86.0,0.0,10.0
26,-75.65472167622487,118.51079440608822,albany,au,28.0,30.0,20.0,13.0
27,-67.61451147348255,-9.62581674285073,cape town,za,66.0,88.0,20.0,14.0
28,38.938630389208555,-38.07096368024676,ribeira grande,pt,62.0,97.0,20.0,10.0
29,56.01829955287934,10.135039425641878,solbjerg,dk,23.0,85.0,0.0,2.0
30,-39.06196139890263,-105.34781105045606,ancud,cl,56.0,85.0,80.0,6.0
31,33.91858527284113,133.68437313424204,ikeda,jp,55.0,82.0,90.0,3.0
32,52.491906531028405,-76.44718615987873,matagami,ca,71.0,33.0,24.0,5.0
35,-65.9369179713525,8.087790426939677,hermanus,za,59.0,93.0,80.0,1.0
36,39.77234742420168,109.06750887009446,dongsheng,cn,44.0,94.0,80.0,10.0
37,26.495878353057478,21.662139649767084,jalu,ly,63.0,37.0,0.0,9.0
