city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
terrace,ca,54,54,44,77,75,2
catalao,br,-18,-18,73,85,68,4
santa cruz de tenerife,es,28,28,56,93,0,13
mao,td,19,19,76,83,40,10
albanel,ca,48,48,5,45,20,11
ndola,zm,-12,-12,63,95,0,8
bekasi,id,-6,-6,82,83,20,2
pareora,nz,-44,-44,62,94,36,4
kayerkan,ru,69,69,-12,58,76,5
paamiut,gl,61,61,33,81,64,9
badvel,in,14,14,77,83,0,3
tikrit,iq,34,34,42,82,0,2
shubarshi,kz,48,48,22,80,76,7
lawrenceburg,us,35,35,65,45,1,4
cap-chat,ca,49,49,15,100,64,20
dzhebariki-khaya,ru,62,62,-4,52,36,3
nizamabad,in,18,18,78,71,56,8
maloh,ph,9,9,86,70,20,9
siverek,tr,37,37,50,61,0,4
port macquarie,au,-31,-31,93,38,0,4
saint john,ca,45,45,12,72,20,14
shirokiy,ru,53,53,-3,77,0,12
sesheke,zm,-17,-17,67,90,68,3
herrin,us,37,37,41,93,90,5
bucarasica,co,8,8,82,65,20,4
graham,us,36,36,57,82,90,14
bertinoro,it,44,44,42,81,0,5
margate,za,-43,-43,64,52,40,26
smithers,ca,54,54,42,60,75,3
bakel,sn,14,14,72,46,36,5
chapais,ca,49,49,-2,53,1,3
bahia blanca,ar,-38,-38,64,91,0,12
alegrete,br,-29,-29,79,83,36,8
amantea,it,39,39,44,100,90,17
santa margherita ligure,it,44,44,50,87,40,4
vestmannaeyjar,is,63,63,44,94,8,18
champerico,gt,16,16,84,58,20,11
salamanca,cl,40,40,34,97,80,5
xuanwu,cn,32,32,51,100,90,4
goias,br,-15,-15,73,90,56,2
pavlodar,kz,52,52,17,100,0,2
fort-shevchenko,kz,44,44,32,100,0,3
tazovskiy,ru,67,67,10,80,80,16
bad hofgastein,at,47,47,30,80,75,9
sanchor,in,24,24,75,43,0,2
rong kwang,th,18,18,78,61,0,3
cubara,co,7,7,70,76,0,2
nagapattinam,in,10,10,81,75,100,5
tysmenytsya,ua,48,48,15,87,92,16
anamur,tr,36,36,57,89,48,6
skorodnoye,ru,51,51,10,78,0,13
clarence town,bs,-32,-32,98,22,0,17
jaguarao,br,-32,-32,74,68,48,15
rupert,us,42,42,33,73,1,5
talara,pe,-4,-4,74,71,80,3
ranghulu,cn,46,46,42,78,0,15
mirandola,it,44,44,45,87,75,9
moroni,km,39,39,30,64,88,3
fecamp,fr,49,49,32,100,90,10
kimbe,pg,-5,-5,79,100,68,6
porirua,nz,-41,-41,62,67,44,10
shache,cn,38,38,44,44,0,4
jacareacanga,br,-6,-6,74,93,24,2
guerrero,mx,-24,-24,75,83,90,0
venado tuerto,ar,-33,-33,71,94,0,8
mhlume,sz,-26,-26,57,100,44,1
saint anthony,ca,43,43,30,73,1,8
san antonio,cl,-33,-33,57,93,20,1
golspie,gb,57,57,30,86,68,5
hvide sande,dk,56,56,24,63,0,21
gerede,tr,40,40,46,71,32,5
san carlos,py,9,9,79,69,0,6
boshnyakovo,ru,49,49,28,81,56,9
manicore,br,-5,-5,73,98,44,1
oga,jp,8,8,77,78,24,11
moree,au,-29,-29,91,46,0,6
malacacheta,br,-17,-17,72,83,68,6
yondo,co,7,7,77,94,36,1
ebolowa,cm,2,2,68,98,64,2
kotka,fi,60,60,19,79,0,6
medvedka,ru,61,61,-10,70,12,3
patacamaya,bo,-17,-17,38,95,0,3
elk point,ca,53,53,33,74,90,4
berezovyy,ru,51,51,31,60,24,3
woodward,us,36,36,47,52,1,6
betlitsa,ru,54,54,-4,78,0,6
bethlehem,za,40,40,36,37,1,4
bay-ang,ph,12,12,80,97,76,10
omura,jp,32,32,55,66,75,3
del rio,us,29,29,77,31,1,6
nyurba,ru,63,63,-1,46,36,6
tulungagung,id,-8,-8,83,80,0,1
ler,sd,63,63,32,63,75,21
nyaunglebin,mm,17,17,85,62,0,3
kamarion,gr,36,36,60,82,80,19
cernat,ro,45,45,28,87,92,3
ushibuka,jp,32,32,60,77,68,3
dumabato,ph,16,16,78,81,24,3
enid,us,36,36,52,53,40,8
tank,pk,32,32,56,63,44,2
tarata,pe,-17,-17,41,84,32,1
hanmer springs,nz,-42,-42,68,42,12,0
kompaniyivka,ua,48,48,24,95,92,18
llaillay,cl,-32,-32,58,82,90,5
ceres,za,-29,-29,87,62,92,12
kongolo,cd,-5,-5,70,92,56,0
chai badan,th,15,15,87,66,0,2
massa marittima,it,43,43,44,87,40,5
lydenburg,za,-25,-25,52,97,88,1
prainha,br,-1,-1,72,100,80,3
carthage,us,32,32,69,82,90,18
normandin,ca,48,48,5,45,20,11
lingao,cn,19,19,83,61,0,10
crestview,us,30,30,68,94,20,6
mittweida,de,50,50,21,62,90,28
zhenlai,cn,45,45,43,95,0,12
dallas,us,32,32,62,88,75,4
honningsvag,no,70,70,30,100,88,15
benjamin hill,mx,30,30,58,41,76,9
whitianga,nz,-36,-36,68,100,0,25
kanker,in,20,20,79,47,0,4
guhagar,in,17,17,80,84,100,6
kreuztal,de,50,50,27,63,75,9
glasgow,us,55,55,29,92,75,13
supe,pe,-10,-10,67,96,8,6
shelburne,ca,44,44,22,66,1,7
inyonga,tz,-6,-6,57,92,0,1
halberstadt,de,51,51,17,77,80,15
kalaisan,ph,7,7,89,59,40,10
cootamundra,au,-34,-34,76,83,8,12
narrabri,au,-30,-30,91,42,0,10
benalla,au,-36,-36,77,33,0,24
bayog,ph,7,7,85,82,20,3
tailai,cn,46,46,46,72,0,15
skovorodino,ru,53,53,12,35,36,13
agua verde,mx,22,22,77,41,40,5
segou,ml,12,12,70,71,0,2
sheridan,us,39,39,52,27,1,3
kibaya,tz,-2,-2,62,100,92,2
orotukan,ru,62,62,-6,81,56,3
sao joaquim,br,-28,-28,59,92,68,2
endicott,us,42,42,26,49,1,10
leca da palmeira,pt,41,41,44,93,20,15
sao joao do paraiso,br,-15,-15,67,97,44,5
nabire,id,-3,-3,84,61,0,2
mali,gn,27,27,60,33,0,1
greytown,za,-29,-29,54,100,88,2
la trinitaria,mx,16,16,59,91,0,2
ordu,tr,40,40,37,83,0,2
nuevo progreso,mx,26,26,76,78,1,11
stockach,de,47,47,31,86,88,8
grandview,us,38,38,40,80,90,6
srednebelaya,ru,50,50,28,46,40,22
saint augustine,us,10,10,75,83,20,3
santa ana,pe,13,13,75,88,40,6
nelson bay,au,-32,-32,98,22,0,17
akhtanizovskaya,ru,45,45,60,48,44,24
kirovsk,ru,67,67,14,91,88,3
saucillo,mx,28,28,69,23,92,15
mehriz,ir,31,31,48,70,75,11
biltine,td,14,14,60,41,0,6
sterling,us,39,39,32,92,20,10
wrexham,gb,53,53,28,86,75,18
anderson,us,34,34,64,68,75,9
arman,ru,59,59,14,47,20,11
tambovka,ru,46,46,40,99,100,9
sapucaia,br,-21,-21,69,100,100,2
killorglin,ie,52,52,29,100,12,12
heihe,cn,50,50,28,46,40,22
bursa,tr,40,40,69,32,0,17
sergeyevka,kz,53,53,23,98,48,8
rio tuba,ph,8,8,82,90,88,14
rangapara,in,26,26,63,51,0,2
eura,fi,61,61,27,74,0,13
mindelo,cv,41,41,44,93,20,15
apatou,gf,5,5,75,79,64,3
barao de melgaco,br,-16,-16,82,88,75,2
big spring,us,32,32,67,34,1,13
salisbury,us,51,51,28,86,90,18
thurso,gb,58,58,32,64,36,19
dok kham tai,th,19,19,73,85,0,3
nizhnyaya tavda,ru,57,57,12,78,32,7
opuwo,na,-18,-18,63,96,88,2
urucui,br,-7,-7,70,94,20,2
ibotirama,br,-12,-12,70,97,56,3
tonstad,no,58,58,19,52,0,4
calama,cl,-22,-22,59,38,0,12
duldurga,ru,50,50,31,66,64,6
makakilo city,us,21,21,81,74,75,9
sabaudia,it,41,41,49,81,0,6
macomer,it,40,40,51,81,75,14
kargil,in,34,34,-8,69,8,1
dumai,id,1,1,83,78,88,5
gusau,ng,12,12,61,49,0,2
meridian,us,32,32,70,77,1,6
birobidzhan,ru,48,48,34,75,0,6
leua,ao,-11,-11,63,99,88,2
zavallya,ua,48,48,21,85,92,17
chauk,mm,20,20,79,68,0,4
mersing,my,2,2,85,76,44,9
belmonte,br,40,40,37,96,36,2
kochi,in,9,9,78,88,40,3
saint-leu,re,-21,-21,77,78,80,3
mazabuka,zm,-15,-15,64,91,48,6
polunochnoye,ru,60,60,1,60,0,7
gandajika,cd,-6,-6,68,97,20,2
alice town,bs,25,25,72,100,0,7
pinsk,by,52,52,9,77,0,15
zonguldak,tr,41,41,59,53,80,7
temiscaming,ca,46,46,8,29,20,8
claveria,ph,8,8,81,84,0,2
kingisepp,ru,59,59,15,86,24,6
columbus,us,32,32,68,93,1,4
chkalovsk,tj,56,56,-4,83,0,6
coos bay,us,43,43,47,76,90,9
cedral,mx,23,23,54,37,0,2
nevsehir,tr,38,38,40,75,0,12
albacete,es,39,39,39,86,20,9
yangjiang,cn,21,21,71,92,92,9
damphu,bt,27,27,59,45,0,1
warren,us,42,42,31,40,1,3
ivanovo,ru,57,57,-15,45,0,3
zhongshu,cn,24,24,67,55,12,12
saint-marc,ht,19,19,71,97,48,4
iralaya,hn,15,15,77,91,64,6
wunsiedel,de,50,50,20,73,90,17
tolmachevo,ru,55,55,-3,70,0,6
golden,ca,51,51,26,88,44,1
nanaimo,ca,49,49,45,93,90,4
praia,cv,-20,-20,69,83,75,2
petrovskoye,ru,56,56,-5,76,0,4
flagstaff,us,35,35,39,45,1,11
alexander city,us,32,32,63,100,1,5
surab,pk,28,28,51,44,68,2
golub-dobrzyn,pl,53,53,19,64,0,15
sorel,ca,46,46,15,33,1,9
along,in,28,28,52,98,92,1
